,Число вершин,Число рёбер,Диаметр,Радиус,Число компонент связности,Цикломатическое число,Максимальная степень вершины,Минимальная степень вершины,Среднее значение степеней вершин,Медиана значений степеней вершин,Мода значений степеней вершин,Хроматическое число,Планарность,Число граней,Среднее значение числа рёбер в грани,Медианное значение числа рёбер в грани,Максимальное значение числа рёбер в грани,Минимальное значение числа рёбер в грани
83266,31.0,13.0,2.0,2.0,19.0,1.0,3.0,0.0,0.8387096774193549,1.0,1.0,3.0,True,2.0,13.0,13.0,23.0,3.0
83267,15.0,17.0,6.0,3.0,1.0,3.0,4.0,1.0,2.2666666666666666,2.0,2.0,3.0,True,4.0,8.5,5.0,20.0,4.0
83268,18.0,20.0,2.0,2.0,2.0,4.0,5.0,0.0,2.2222222222222223,3.0,3.0,4.0,True,5.0,8.0,5.0,22.0,3.0
83273,65.0,32.0,2.0,2.0,34.0,1.0,6.0,0.0,0.9846153846153847,1.0,0.0,3.0,True,2.0,32.0,32.0,59.0,5.0
83276,43.0,10.0,2.0,2.0,33.0,0.0,3.0,0.0,0.46511627906976744,0.0,0.0,3.0,True,1.0,20.0,20.0,20.0,20.0
83279,20.0,29.0,8.0,4.0,1.0,10.0,5.0,1.0,2.9,3.0,2.0,3.0,True,11.0,5.2727272727272725,3.0,22.0,3.0
83280,68.0,28.0,2.0,2.0,40.0,0.0,3.0,0.0,0.8235294117647058,1.0,0.0,3.0,True,1.0,56.0,56.0,56.0,56.0
83285,9.0,11.0,5.0,3.0,1.0,3.0,3.0,1.0,2.4444444444444446,3.0,3.0,3.0,True,4.0,5.5,4.5,9.0,4.0
83287,62.0,16.0,2.0,2.0,46.0,0.0,3.0,0.0,0.5161290322580645,0.0,0.0,3.0,True,1.0,32.0,32.0,32.0,32.0
83288,24.0,22.0,2.0,2.0,5.0,3.0,4.0,0.0,1.8333333333333333,2.0,2.0,3.0,True,4.0,11.0,4.0,33.0,3.0
83292,45.0,30.0,2.0,2.0,15.0,0.0,4.0,0.0,1.3333333333333333,1.0,2.0,3.0,True,1.0,60.0,60.0,60.0,60.0
83293,9.0,11.0,3.0,2.0,1.0,3.0,6.0,1.0,2.4444444444444446,2.0,3.0,3.0,True,4.0,5.5,3.0,13.0,3.0
83295,44.0,26.0,2.0,2.0,19.0,1.0,4.0,0.0,1.1818181818181819,1.0,1.0,3.0,True,2.0,26.0,26.0,49.0,3.0
