,Число вершин,Число рёбер,Диаметр,Радиус,Число компонент связности,Цикломатическое число,Максимальная степень вершины,Минимальная степень вершины,Среднее значение степеней вершин,Медиана значений степеней вершин,Мода значений степеней вершин,Хроматическое число,Планарность,Число граней,Среднее значение числа рёбер в грани,Медианное значение числа рёбер в грани,Максимальное значение числа рёбер в грани,Минимальное значение числа рёбер в грани
65756,32.0,22.0,2.0,2.0,15.0,5.0,5.0,0.0,1.375,1.0,0.0,4.0,True,6.0,7.333333333333333,3.5,25.0,3.0
65761,39.0,24.0,2.0,2.0,16.0,1.0,3.0,0.0,1.2307692307692308,1.0,1.0,3.0,True,2.0,24.0,24.0,44.0,4.0
65762,40.0,10.0,2.0,2.0,30.0,0.0,3.0,0.0,0.5,0.0,0.0,2.0,True,1.0,20.0,20.0,20.0,20.0
65763,68.0,24.0,2.0,2.0,44.0,0.0,3.0,0.0,0.7058823529411765,1.0,0.0,3.0,True,1.0,48.0,48.0,48.0,48.0
65765,9.0,11.0,4.0,2.0,1.0,3.0,4.0,1.0,2.4444444444444446,2.0,2.0,4.0,True,4.0,5.5,4.5,10.0,3.0
65766,36.0,19.0,2.0,2.0,17.0,0.0,3.0,0.0,1.0555555555555556,1.0,1.0,3.0,True,1.0,38.0,38.0,38.0,38.0
65769,94.0,77.0,2.0,2.0,24.0,7.0,5.0,0.0,1.6382978723404256,2.0,2.0,4.0,True,8.0,19.25,8.0,106.0,3.0
65771,27.0,23.0,2.0,2.0,7.0,3.0,6.0,0.0,1.7037037037037037,1.0,1.0,3.0,True,4.0,11.5,5.5,32.0,3.0
65774,67.0,47.0,2.0,2.0,21.0,1.0,4.0,0.0,1.4029850746268657,1.0,1.0,3.0,True,2.0,47.0,47.0,91.0,3.0
65777,36.0,33.0,2.0,2.0,9.0,6.0,5.0,0.0,1.8333333333333333,1.0,1.0,4.0,True,7.0,9.428571428571429,3.0,42.0,3.0
65779,23.0,26.0,9.0,5.0,1.0,4.0,4.0,1.0,2.260869565217391,2.0,2.0,4.0,True,5.0,10.4,6.0,30.0,3.0
65782,10.0,19.0,3.0,2.0,1.0,10.0,6.0,2.0,3.8,4.0,3.0,4.0,True,11.0,3.4545454545454546,3.0,5.0,3.0
65783,14.0,26.0,4.0,2.0,1.0,13.0,6.0,2.0,3.7142857142857144,4.0,3.0,4.0,True,14.0,3.7142857142857144,4.0,5.0,3.0
65784,96.0,4.0,2.0,2.0,92.0,0.0,1.0,0.0,0.08333333333333333,0.0,0.0,2.0,True,1.0,8.0,8.0,8.0,8.0
65785,19.0,20.0,2.0,2.0,3.0,4.0,5.0,0.0,2.1052631578947367,2.0,2.0,3.0,True,5.0,8.0,6.0,21.0,3.0
65786,33.0,8.0,2.0,2.0,25.0,0.0,3.0,0.0,0.48484848484848486,0.0,0.0,2.0,True,1.0,16.0,16.0,16.0,16.0
65787,14.0,18.0,2.0,2.0,2.0,6.0,5.0,0.0,2.5714285714285716,2.0,2.0,3.0,True,7.0,5.142857142857143,5.0,11.0,3.0
65789,35.0,7.0,2.0,2.0,28.0,0.0,3.0,0.0,0.4,0.0,0.0,2.0,True,1.0,14.0,14.0,14.0,14.0
65790,11.0,18.0,3.0,2.0,1.0,8.0,5.0,2.0,3.272727272727273,3.0,3.0,4.0,True,9.0,4.0,4.0,7.0,1.0
65793,17.0,11.0,2.0,2.0,6.0,0.0,2.0,0.0,1.2941176470588236,2.0,2.0,3.0,True,1.0,22.0,22.0,22.0,22.0
65794,28.0,10.0,2.0,2.0,18.0,0.0,3.0,0.0,0.7142857142857143,1.0,1.0,2.0,True,1.0,20.0,20.0,20.0,20.0
65795,23.0,15.0,2.0,2.0,9.0,1.0,5.0,0.0,1.3043478260869565,1.0,1.0,3.0,True,2.0,15.0,15.0,26.0,4.0
65797,23.0,20.0,2.0,2.0,7.0,4.0,4.0,0.0,1.7391304347826086,2.0,2.0,3.0,True,5.0,8.0,5.0,18.0,4.0
65798,92.0,55.0,2.0,2.0,40.0,3.0,5.0,0.0,1.1956521739130435,1.0,1.0,4.0,True,4.0,27.5,7.0,92.0,4.0
65799,9.0,14.0,3.0,2.0,1.0,6.0,5.0,1.0,3.111111111111111,3.0,3.0,3.0,True,7.0,4.0,3.0,9.0,3.0
65802,14.0,13.0,9.0,5.0,1.0,0.0,3.0,1.0,1.8571428571428572,2.0,2.0,3.0,True,1.0,26.0,26.0,26.0,26.0
65804,29.0,21.0,2.0,2.0,10.0,2.0,3.0,0.0,1.4482758620689655,1.0,1.0,3.0,True,3.0,14.0,3.0,36.0,3.0
65805,82.0,44.0,2.0,2.0,38.0,0.0,4.0,0.0,1.0731707317073171,1.0,0.0,3.0,True,1.0,88.0,88.0,88.0,88.0
65807,54.0,42.0,2.0,2.0,14.0,2.0,5.0,0.0,1.5555555555555556,1.0,1.0,3.0,True,3.0,28.0,4.0,77.0,3.0
65810,77.0,50.0,2.0,2.0,30.0,3.0,4.0,0.0,1.2987012987012987,1.0,1.0,3.0,True,4.0,25.0,5.5,85.0,4.0
65811,23.0,15.0,2.0,2.0,8.0,0.0,2.0,0.0,1.3043478260869565,1.0,1.0,3.0,True,1.0,30.0,30.0,30.0,30.0
65812,10.0,13.0,4.0,2.0,1.0,4.0,5.0,1.0,2.6,3.0,2.0,4.0,True,5.0,5.2,4.0,12.0,3.0
65813,8.0,14.0,3.0,2.0,1.0,7.0,5.0,1.0,3.5,4.0,3.0,4.0,True,8.0,3.5,3.0,5.0,3.0
65814,32.0,12.0,2.0,2.0,20.0,0.0,2.0,0.0,0.75,1.0,0.0,2.0,True,1.0,24.0,24.0,24.0,24.0
65815,56.0,48.0,2.0,2.0,16.0,8.0,6.0,0.0,1.7142857142857142,2.0,1.0,4.0,True,9.0,10.666666666666666,7.0,39.0,3.0
65816,84.0,20.0,2.0,2.0,64.0,0.0,3.0,0.0,0.47619047619047616,0.0,0.0,3.0,True,1.0,40.0,40.0,40.0,40.0
65819,14.0,14.0,2.0,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0,3.0,True,3.0,9.333333333333334,4.0,21.0,3.0
65821,8.0,8.0,2.0,2.0,2.0,2.0,3.0,0.0,2.0,2.0,2.0,3.0,True,3.0,5.333333333333333,3.0,10.0,3.0
65822,24.0,30.0,2.0,2.0,3.0,9.0,6.0,0.0,2.5,3.0,3.0,3.0,True,10.0,6.0,6.0,15.0,3.0
65826,37.0,32.0,2.0,2.0,9.0,4.0,4.0,0.0,1.7297297297297298,2.0,1.0,4.0,True,5.0,12.8,4.0,49.0,3.0
65827,59.0,24.0,2.0,2.0,35.0,0.0,4.0,0.0,0.8135593220338984,1.0,0.0,3.0,True,1.0,48.0,48.0,48.0,48.0
65828,37.0,9.0,2.0,2.0,28.0,0.0,2.0,0.0,0.4864864864864865,0.0,0.0,2.0,True,1.0,18.0,18.0,18.0,18.0
65829,7.0,6.0,6.0,3.0,1.0,0.0,2.0,1.0,1.7142857142857142,2.0,2.0,3.0,True,1.0,12.0,12.0,12.0,12.0
65830,17.0,26.0,2.0,2.0,2.0,11.0,6.0,0.0,3.0588235294117645,3.0,3.0,4.0,True,12.0,4.333333333333333,3.0,9.0,3.0
65832,36.0,16.0,2.0,2.0,20.0,0.0,4.0,0.0,0.8888888888888888,1.0,0.0,3.0,True,1.0,32.0,32.0,32.0,32.0
65833,87.0,9.0,2.0,2.0,78.0,0.0,1.0,0.0,0.20689655172413793,0.0,0.0,2.0,True,1.0,18.0,18.0,18.0,18.0
65835,7.0,11.0,3.0,2.0,1.0,5.0,4.0,2.0,3.142857142857143,3.0,4.0,3.0,True,6.0,3.6666666666666665,3.0,7.0,3.0
65836,31.0,11.0,2.0,2.0,20.0,0.0,3.0,0.0,0.7096774193548387,1.0,1.0,3.0,True,1.0,22.0,22.0,22.0,22.0
65839,28.0,16.0,2.0,2.0,12.0,0.0,6.0,0.0,1.1428571428571428,1.0,0.0,2.0,True,1.0,32.0,32.0,32.0,32.0
65841,35.0,11.0,2.0,2.0,24.0,0.0,2.0,0.0,0.6285714285714286,1.0,1.0,2.0,True,1.0,22.0,22.0,22.0,22.0
65842,9.0,11.0,3.0,2.0,1.0,3.0,5.0,1.0,2.4444444444444446,2.0,2.0,3.0,True,4.0,5.5,4.5,9.0,4.0
65845,31.0,13.0,2.0,2.0,18.0,0.0,4.0,0.0,0.8387096774193549,1.0,0.0,3.0,True,1.0,26.0,26.0,26.0,26.0
65847,15.0,12.0,2.0,2.0,3.0,0.0,3.0,0.0,1.6,2.0,1.0,3.0,True,1.0,24.0,24.0,24.0,24.0
65848,12.0,16.0,4.0,3.0,1.0,5.0,5.0,1.0,2.6666666666666665,2.0,2.0,4.0,True,6.0,5.333333333333333,4.5,11.0,3.0
65849,7.0,14.0,2.0,2.0,1.0,8.0,5.0,3.0,4.0,4.0,4.0,4.0,True,9.0,3.111111111111111,3.0,5.0,1.0
65850,51.0,15.0,2.0,2.0,37.0,1.0,4.0,0.0,0.5882352941176471,0.0,0.0,3.0,True,2.0,15.0,15.0,27.0,3.0
65851,77.0,66.0,2.0,2.0,18.0,7.0,5.0,0.0,1.7142857142857142,2.0,2.0,4.0,True,8.0,16.5,8.5,67.0,5.0
65852,30.0,24.0,2.0,2.0,8.0,2.0,4.0,0.0,1.6,2.0,1.0,3.0,True,3.0,16.0,5.0,38.0,5.0
65855,94.0,32.0,2.0,2.0,62.0,0.0,5.0,0.0,0.6808510638297872,1.0,0.0,3.0,True,1.0,64.0,64.0,64.0,64.0
65856,48.0,30.0,2.0,2.0,18.0,0.0,4.0,0.0,1.25,1.0,2.0,3.0,True,1.0,60.0,60.0,60.0,60.0
65859,90.0,48.0,2.0,2.0,42.0,0.0,4.0,0.0,1.0666666666666667,1.0,1.0,3.0,True,1.0,96.0,96.0,96.0,96.0
65860,100.0,43.0,2.0,2.0,57.0,0.0,4.0,0.0,0.86,1.0,1.0,3.0,True,1.0,86.0,86.0,86.0,86.0
65861,9.0,8.0,7.0,4.0,1.0,0.0,3.0,1.0,1.7777777777777777,2.0,2.0,3.0,True,1.0,16.0,16.0,16.0,16.0
65863,42.0,42.0,2.0,2.0,8.0,8.0,6.0,0.0,2.0,2.0,1.0,3.0,True,9.0,9.333333333333334,6.0,40.0,4.0
65865,14.0,14.0,2.0,2.0,3.0,3.0,3.0,0.0,2.0,2.0,2.0,3.0,True,4.0,7.0,4.5,15.0,4.0
65867,10.0,18.0,4.0,2.0,1.0,9.0,6.0,1.0,3.6,3.0,3.0,5.0,True,10.0,3.6,3.0,7.0,3.0
65868,10.0,4.0,2.0,2.0,6.0,0.0,3.0,0.0,0.8,1.0,1.0,2.0,True,1.0,8.0,8.0,8.0,8.0
65869,24.0,28.0,2.0,2.0,2.0,6.0,6.0,0.0,2.3333333333333335,2.0,3.0,3.0,True,7.0,8.0,4.0,32.0,3.0
65870,15.0,19.0,2.0,2.0,2.0,6.0,5.0,0.0,2.533333333333333,2.0,2.0,3.0,True,7.0,5.428571428571429,4.0,14.0,3.0
65871,21.0,12.0,2.0,2.0,10.0,1.0,4.0,0.0,1.1428571428571428,1.0,1.0,3.0,True,2.0,12.0,12.0,19.0,5.0
65873,9.0,9.0,2.0,2.0,2.0,2.0,4.0,0.0,2.0,2.0,2.0,3.0,True,3.0,6.0,5.0,8.0,5.0
65875,58.0,18.0,2.0,2.0,40.0,0.0,5.0,0.0,0.6206896551724138,1.0,0.0,2.0,True,1.0,36.0,36.0,36.0,36.0
65876,34.0,27.0,2.0,2.0,10.0,3.0,4.0,0.0,1.588235294117647,1.0,1.0,3.0,True,4.0,13.5,7.0,35.0,5.0
65878,19.0,26.0,7.0,4.0,1.0,8.0,6.0,1.0,2.736842105263158,3.0,3.0,3.0,True,9.0,5.777777777777778,4.0,13.0,4.0
65880,19.0,14.0,2.0,2.0,8.0,3.0,4.0,0.0,1.4736842105263157,1.0,1.0,3.0,True,4.0,7.0,4.5,16.0,3.0
65881,14.0,19.0,5.0,3.0,1.0,6.0,5.0,2.0,2.7142857142857144,3.0,2.0,4.0,True,7.0,5.428571428571429,5.0,11.0,3.0
65887,88.0,21.0,2.0,2.0,67.0,0.0,4.0,0.0,0.4772727272727273,0.0,0.0,3.0,True,1.0,42.0,42.0,42.0,42.0
65888,28.0,15.0,2.0,2.0,13.0,0.0,3.0,0.0,1.0714285714285714,1.0,1.0,3.0,True,1.0,30.0,30.0,30.0,30.0
65889,47.0,48.0,2.0,2.0,8.0,9.0,6.0,0.0,2.0425531914893615,2.0,1.0,4.0,True,10.0,9.6,4.5,56.0,3.0
65891,7.0,11.0,3.0,2.0,1.0,5.0,4.0,1.0,3.142857142857143,3.0,3.0,4.0,True,6.0,3.6666666666666665,3.0,7.0,3.0
65892,12.0,18.0,4.0,2.0,1.0,7.0,6.0,1.0,3.0,3.0,2.0,4.0,True,8.0,4.5,4.5,8.0,3.0
65893,51.0,29.0,2.0,2.0,23.0,1.0,3.0,0.0,1.1372549019607843,1.0,1.0,3.0,True,2.0,29.0,29.0,51.0,7.0
65894,40.0,17.0,2.0,2.0,23.0,0.0,2.0,0.0,0.85,1.0,0.0,2.0,True,1.0,34.0,34.0,34.0,34.0
65895,7.0,12.0,3.0,2.0,1.0,6.0,5.0,1.0,3.4285714285714284,3.0,3.0,4.0,True,7.0,3.4285714285714284,3.0,5.0,3.0
65896,8.0,10.0,2.0,2.0,2.0,4.0,4.0,0.0,2.5,3.0,2.0,3.0,True,5.0,4.0,4.0,6.0,3.0
65897,26.0,15.0,2.0,2.0,11.0,0.0,4.0,0.0,1.1538461538461537,1.0,1.0,2.0,True,1.0,30.0,30.0,30.0,30.0
65898,25.0,11.0,2.0,2.0,15.0,1.0,3.0,0.0,0.88,1.0,1.0,3.0,True,2.0,11.0,11.0,19.0,3.0
65899,26.0,13.0,2.0,2.0,13.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,True,1.0,26.0,26.0,26.0,26.0
65900,13.0,22.0,3.0,2.0,1.0,10.0,7.0,2.0,3.3846153846153846,3.0,2.0,4.0,True,11.0,4.0,3.0,11.0,3.0
65901,17.0,20.0,2.0,2.0,2.0,5.0,5.0,0.0,2.3529411764705883,2.0,3.0,4.0,True,6.0,6.666666666666667,5.5,17.0,3.0
65902,97.0,1.0,2.0,2.0,96.0,0.0,1.0,0.0,0.020618556701030927,0.0,0.0,2.0,True,1.0,2.0,2.0,2.0,2.0
65907,62.0,45.0,2.0,2.0,20.0,3.0,5.0,0.0,1.4516129032258065,1.0,2.0,4.0,True,4.0,22.5,6.0,74.0,4.0
65909,99.0,50.0,2.0,2.0,49.0,0.0,4.0,0.0,1.0101010101010102,1.0,0.0,3.0,True,1.0,100.0,100.0,100.0,100.0
65910,14.0,14.0,2.0,2.0,3.0,3.0,4.0,0.0,2.0,2.0,2.0,3.0,True,4.0,7.0,5.5,14.0,3.0
65912,68.0,9.0,2.0,2.0,59.0,0.0,2.0,0.0,0.2647058823529412,0.0,0.0,2.0,True,1.0,18.0,18.0,18.0,18.0
65914,9.0,6.0,2.0,2.0,4.0,1.0,3.0,0.0,1.3333333333333333,2.0,2.0,2.0,True,2.0,6.0,6.0,8.0,4.0
65916,86.0,61.0,2.0,2.0,26.0,1.0,5.0,0.0,1.4186046511627908,1.0,1.0,3.0,True,2.0,61.0,61.0,116.0,6.0
65919,48.0,49.0,2.0,2.0,6.0,7.0,6.0,0.0,2.0416666666666665,2.0,1.0,3.0,True,8.0,12.25,7.5,50.0,4.0
65920,37.0,36.0,2.0,2.0,6.0,5.0,5.0,0.0,1.945945945945946,2.0,1.0,3.0,True,6.0,12.0,7.5,39.0,3.0
65921,8.0,7.0,2.0,2.0,3.0,2.0,4.0,0.0,1.75,2.0,2.0,3.0,True,3.0,4.666666666666667,4.0,7.0,3.0
65922,43.0,33.0,2.0,2.0,10.0,0.0,5.0,0.0,1.5348837209302326,1.0,1.0,3.0,True,1.0,66.0,66.0,66.0,66.0
65923,17.0,16.0,2.0,2.0,3.0,2.0,4.0,0.0,1.8823529411764706,2.0,3.0,3.0,True,3.0,10.666666666666666,6.0,23.0,3.0
65924,62.0,45.0,2.0,2.0,21.0,4.0,4.0,0.0,1.4516129032258065,1.0,2.0,4.0,True,5.0,18.0,6.0,69.0,3.0
65925,18.0,21.0,6.0,3.0,1.0,4.0,5.0,1.0,2.3333333333333335,3.0,1.0,4.0,True,5.0,8.4,6.0,22.0,3.0
65927,16.0,21.0,6.0,3.0,1.0,6.0,5.0,1.0,2.625,3.0,3.0,4.0,True,7.0,6.0,3.0,20.0,3.0
65928,82.0,22.0,2.0,2.0,60.0,0.0,3.0,0.0,0.5365853658536586,0.0,0.0,3.0,True,1.0,44.0,44.0,44.0,44.0
65930,6.0,6.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,True,3.0,4.0,3.0,6.0,3.0
65931,17.0,14.0,2.0,2.0,4.0,1.0,5.0,0.0,1.6470588235294117,2.0,2.0,3.0,True,2.0,14.0,14.0,25.0,3.0
65933,69.0,47.0,2.0,2.0,24.0,2.0,4.0,0.0,1.3623188405797102,1.0,0.0,3.0,True,3.0,31.333333333333332,9.0,78.0,7.0
65935,47.0,38.0,2.0,2.0,12.0,3.0,4.0,0.0,1.6170212765957446,1.0,1.0,3.0,True,4.0,19.0,7.5,55.0,6.0
65936,29.0,9.0,2.0,2.0,20.0,0.0,2.0,0.0,0.6206896551724138,1.0,1.0,2.0,True,1.0,18.0,18.0,18.0,18.0
65937,20.0,8.0,2.0,2.0,12.0,0.0,2.0,0.0,0.8,1.0,1.0,2.0,True,1.0,16.0,16.0,16.0,16.0
65938,7.0,11.0,3.0,2.0,1.0,5.0,5.0,1.0,3.142857142857143,3.0,4.0,4.0,True,6.0,3.6666666666666665,3.0,6.0,3.0
65940,12.0,13.0,5.0,3.0,1.0,2.0,4.0,1.0,2.1666666666666665,2.0,2.0,2.0,True,3.0,8.666666666666666,6.0,16.0,4.0
65942,63.0,16.0,2.0,2.0,47.0,0.0,3.0,0.0,0.5079365079365079,0.0,0.0,2.0,True,1.0,32.0,32.0,32.0,32.0
65944,69.0,57.0,2.0,2.0,12.0,0.0,5.0,0.0,1.6521739130434783,1.0,1.0,4.0,True,1.0,114.0,114.0,114.0,114.0
65946,11.0,11.0,7.0,4.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,True,2.0,11.0,11.0,17.0,5.0
65947,16.0,14.0,2.0,2.0,5.0,3.0,5.0,0.0,1.75,2.0,2.0,3.0,True,4.0,7.0,3.0,19.0,3.0
65949,34.0,20.0,2.0,2.0,15.0,1.0,4.0,0.0,1.1764705882352942,1.0,1.0,3.0,True,2.0,20.0,20.0,35.0,5.0
65951,11.0,14.0,2.0,2.0,2.0,5.0,5.0,0.0,2.5454545454545454,3.0,4.0,3.0,True,6.0,4.666666666666667,4.0,10.0,3.0
65953,15.0,26.0,5.0,3.0,1.0,12.0,6.0,1.0,3.466666666666667,3.0,3.0,4.0,True,13.0,4.0,3.0,13.0,3.0
65956,36.0,26.0,2.0,2.0,11.0,1.0,3.0,0.0,1.4444444444444444,1.0,1.0,3.0,True,2.0,26.0,26.0,48.0,4.0
65958,81.0,55.0,2.0,2.0,28.0,2.0,5.0,0.0,1.3580246913580247,1.0,1.0,3.0,True,3.0,36.666666666666664,6.0,101.0,3.0
65959,8.0,10.0,3.0,2.0,1.0,3.0,3.0,2.0,2.5,3.0,3.0,3.0,True,4.0,5.0,5.0,7.0,3.0
65963,9.0,6.0,2.0,2.0,3.0,0.0,4.0,0.0,1.3333333333333333,1.0,1.0,3.0,True,1.0,12.0,12.0,12.0,12.0
65964,46.0,35.0,2.0,2.0,14.0,3.0,6.0,0.0,1.5217391304347827,1.0,1.0,3.0,True,4.0,17.5,7.0,53.0,3.0
65965,37.0,21.0,2.0,2.0,16.0,0.0,4.0,0.0,1.135135135135135,1.0,0.0,3.0,True,1.0,42.0,42.0,42.0,42.0
65967,11.0,9.0,2.0,2.0,3.0,1.0,3.0,0.0,1.6363636363636365,1.0,1.0,4.0,True,2.0,9.0,9.0,15.0,3.0
65968,9.0,15.0,3.0,2.0,1.0,7.0,6.0,1.0,3.3333333333333335,3.0,2.0,4.0,True,8.0,3.75,3.0,8.0,3.0
65970,31.0,31.0,2.0,2.0,5.0,5.0,5.0,0.0,2.0,2.0,1.0,3.0,True,6.0,10.333333333333334,5.0,36.0,4.0
65972,12.0,16.0,2.0,2.0,2.0,6.0,5.0,0.0,2.6666666666666665,3.0,3.0,4.0,True,7.0,4.571428571428571,4.0,7.0,3.0
65973,60.0,35.0,2.0,2.0,25.0,0.0,4.0,0.0,1.1666666666666667,1.0,1.0,3.0,True,1.0,70.0,70.0,70.0,70.0
65974,29.0,9.0,2.0,2.0,20.0,0.0,2.0,0.0,0.6206896551724138,0.0,0.0,3.0,True,1.0,18.0,18.0,18.0,18.0
65978,73.0,47.0,2.0,2.0,27.0,1.0,4.0,0.0,1.2876712328767124,1.0,1.0,3.0,True,2.0,47.0,47.0,91.0,3.0
65980,84.0,20.0,2.0,2.0,64.0,0.0,3.0,0.0,0.47619047619047616,0.0,0.0,2.0,True,1.0,40.0,40.0,40.0,40.0
65982,7.0,13.0,2.0,1.0,1.0,7.0,6.0,2.0,3.7142857142857144,4.0,4.0,4.0,True,8.0,3.25,3.0,4.0,3.0
65983,25.0,24.0,2.0,2.0,5.0,4.0,6.0,0.0,1.92,2.0,2.0,4.0,True,5.0,9.6,5.0,29.0,3.0
65984,10.0,17.0,2.0,2.0,2.0,9.0,6.0,0.0,3.4,4.0,5.0,3.0,True,10.0,3.4,3.0,5.0,3.0
65985,18.0,17.0,2.0,2.0,3.0,2.0,5.0,0.0,1.8888888888888888,1.0,1.0,3.0,True,3.0,11.333333333333334,5.0,26.0,3.0
65986,6.0,5.0,3.0,2.0,1.0,0.0,4.0,1.0,1.6666666666666667,1.0,1.0,2.0,True,1.0,10.0,10.0,10.0,10.0
65987,75.0,62.0,2.0,2.0,20.0,7.0,6.0,0.0,1.6533333333333333,2.0,2.0,3.0,True,8.0,15.5,12.5,60.0,3.0
65988,83.0,30.0,2.0,2.0,53.0,0.0,4.0,0.0,0.7228915662650602,0.0,0.0,3.0,True,1.0,60.0,60.0,60.0,60.0
65989,85.0,28.0,2.0,2.0,57.0,0.0,3.0,0.0,0.6588235294117647,0.0,0.0,2.0,True,1.0,56.0,56.0,56.0,56.0
65990,72.0,50.0,2.0,2.0,24.0,2.0,6.0,0.0,1.3888888888888888,1.0,1.0,3.0,True,3.0,33.333333333333336,8.0,89.0,3.0
65992,62.0,37.0,2.0,2.0,26.0,1.0,4.0,0.0,1.1935483870967742,1.0,0.0,4.0,True,2.0,37.0,37.0,64.0,10.0
65993,17.0,22.0,5.0,4.0,1.0,6.0,4.0,1.0,2.588235294117647,3.0,3.0,3.0,True,7.0,6.285714285714286,5.0,12.0,3.0
65994,24.0,15.0,2.0,2.0,9.0,0.0,3.0,0.0,1.25,1.0,2.0,3.0,True,1.0,30.0,30.0,30.0,30.0
65995,77.0,60.0,2.0,2.0,22.0,5.0,5.0,0.0,1.5584415584415585,2.0,2.0,4.0,True,6.0,20.0,10.5,74.0,5.0
65998,50.0,55.0,2.0,2.0,5.0,10.0,7.0,0.0,2.2,2.0,1.0,3.0,True,11.0,10.0,4.0,69.0,3.0
65999,24.0,6.0,2.0,2.0,18.0,0.0,1.0,0.0,0.5,1.0,0.0,2.0,True,1.0,12.0,12.0,12.0,12.0
66000,33.0,17.0,2.0,2.0,16.0,0.0,3.0,0.0,1.0303030303030303,1.0,1.0,2.0,True,1.0,34.0,34.0,34.0,34.0
66001,11.0,15.0,2.0,2.0,2.0,6.0,4.0,0.0,2.727272727272727,2.0,4.0,4.0,True,7.0,4.285714285714286,4.0,7.0,3.0
66002,19.0,19.0,2.0,2.0,3.0,3.0,5.0,0.0,2.0,2.0,1.0,4.0,True,4.0,9.5,3.0,29.0,3.0
66003,17.0,16.0,2.0,2.0,2.0,1.0,5.0,0.0,1.8823529411764706,2.0,2.0,3.0,True,2.0,16.0,16.0,26.0,6.0
66004,19.0,5.0,2.0,2.0,15.0,1.0,3.0,0.0,0.5263157894736842,0.0,0.0,3.0,True,2.0,5.0,5.0,7.0,3.0
66005,10.0,13.0,4.0,2.0,1.0,4.0,4.0,2.0,2.6,3.0,2.0,3.0,True,5.0,5.2,5.0,9.0,3.0
66006,9.0,10.0,4.0,2.0,1.0,2.0,4.0,1.0,2.2222222222222223,2.0,2.0,3.0,True,3.0,6.666666666666667,5.0,12.0,3.0
66008,22.0,19.0,2.0,2.0,4.0,1.0,4.0,0.0,1.7272727272727273,2.0,1.0,3.0,True,2.0,19.0,19.0,33.0,5.0
66009,12.0,12.0,2.0,2.0,3.0,3.0,5.0,0.0,2.0,2.0,2.0,3.0,True,4.0,6.0,5.0,11.0,3.0
66011,26.0,29.0,2.0,2.0,3.0,6.0,5.0,0.0,2.230769230769231,2.0,1.0,3.0,True,7.0,8.285714285714286,5.0,28.0,3.0
66014,94.0,7.0,2.0,2.0,87.0,0.0,2.0,0.0,0.14893617021276595,0.0,0.0,2.0,True,1.0,14.0,14.0,14.0,14.0
66015,55.0,20.0,2.0,2.0,35.0,0.0,3.0,0.0,0.7272727272727273,1.0,0.0,3.0,True,1.0,40.0,40.0,40.0,40.0
66017,14.0,16.0,2.0,2.0,2.0,4.0,4.0,1.0,2.2857142857142856,2.0,2.0,4.0,True,5.0,6.4,5.0,14.0,3.0
66018,47.0,47.0,2.0,2.0,7.0,7.0,5.0,0.0,2.0,2.0,2.0,3.0,True,8.0,11.75,5.0,61.0,3.0
66019,55.0,27.0,2.0,2.0,29.0,1.0,4.0,0.0,0.9818181818181818,1.0,1.0,3.0,True,2.0,27.0,27.0,50.0,4.0
66020,20.0,26.0,2.0,2.0,2.0,8.0,5.0,0.0,2.6,3.0,2.0,3.0,True,9.0,5.777777777777778,6.0,10.0,-2.0
66022,24.0,16.0,2.0,2.0,9.0,1.0,3.0,0.0,1.3333333333333333,1.0,1.0,3.0,True,2.0,16.0,16.0,29.0,3.0
66025,80.0,18.0,2.0,2.0,62.0,0.0,3.0,0.0,0.45,0.0,0.0,2.0,True,1.0,36.0,36.0,36.0,36.0
66027,6.0,11.0,2.0,2.0,1.0,6.0,4.0,3.0,3.6666666666666665,4.0,4.0,4.0,True,7.0,3.142857142857143,3.0,4.0,2.0
66029,89.0,22.0,2.0,2.0,67.0,0.0,2.0,0.0,0.4943820224719101,0.0,0.0,3.0,True,1.0,44.0,44.0,44.0,44.0
66034,53.0,17.0,2.0,2.0,36.0,0.0,3.0,0.0,0.6415094339622641,0.0,0.0,3.0,True,1.0,34.0,34.0,34.0,34.0
66037,11.0,11.0,8.0,4.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,3.0,True,2.0,11.0,11.0,18.0,4.0
66040,31.0,34.0,2.0,2.0,5.0,8.0,5.0,0.0,2.193548387096774,2.0,2.0,4.0,True,9.0,7.555555555555555,7.0,23.0,3.0
66042,55.0,23.0,2.0,2.0,32.0,0.0,4.0,0.0,0.8363636363636363,1.0,0.0,3.0,True,1.0,46.0,46.0,46.0,46.0
66046,74.0,50.0,2.0,2.0,24.0,0.0,5.0,0.0,1.3513513513513513,1.0,1.0,3.0,True,1.0,100.0,100.0,100.0,100.0
66047,9.0,9.0,2.0,2.0,3.0,3.0,4.0,0.0,2.0,2.0,1.0,3.0,True,4.0,4.5,3.0,9.0,3.0
66048,84.0,53.0,2.0,2.0,32.0,1.0,5.0,0.0,1.2619047619047619,1.0,1.0,3.0,True,2.0,53.0,53.0,100.0,6.0
66052,43.0,29.0,2.0,2.0,16.0,2.0,4.0,0.0,1.3488372093023255,1.0,0.0,3.0,True,3.0,19.333333333333332,5.0,50.0,3.0
